iter	MultiClass
0	1.509128547
1	1.307689752
2	1.163096435
3	1.043485546
4	0.9464726892
5	0.8666174159
6	0.8006600924
7	0.7407538382
8	0.6882885384
9	0.6422218054
10	0.6016975234
11	0.5636562644
12	0.531435885
13	0.5020479132
14	0.4740204206
15	0.4496323382
16	0.4275944153
17	0.4071861245
18	0.3884617149
19	0.3712139108
20	0.3566316274
21	0.3429502305
22	0.328579997
23	0.3145274933
24	0.3010464266
25	0.2897625769
26	0.2777380154
27	0.2683872165
28	0.2575424384
29	0.2480234656
30	0.2392687392
31	0.2306517607
32	0.222949509
33	0.216871989
34	0.210780289
35	0.2036531345
36	0.19823614
37	0.1937267007
38	0.188126022
39	0.183729966
40	0.1788010172
41	0.1746090886
42	0.1705237854
43	0.1660108051
44	0.1620246748
45	0.1597620211
46	0.1560690427
47	0.1535488572
48	0.1508243417
49	0.147535085
50	0.1450081088
51	0.1428984162
52	0.1407305922
53	0.1384975718
54	0.1363898588
55	0.1341664348
56	0.1325176261
57	0.1308427815
58	0.129220955
59	0.1276143978
60	0.1256336288
61	0.1232868392
62	0.1222657819
63	0.1200450254
64	0.1179582907
65	0.11616229
66	0.1154545907
67	0.1144931873
68	0.1132670977
69	0.1122991253
70	0.1112604074
71	0.1095178289
72	0.107843628
73	0.1071432057
74	0.1066590633
75	0.1054678312
76	0.1040951671
77	0.1033424129
78	0.102831848
79	0.1019051457
80	0.1011727732
81	0.1002926864
82	0.09895407361
83	0.09802282719
84	0.09723580572
85	0.09634090263
86	0.09611547247
87	0.09530609727
88	0.09450556697
89	0.09423125536
90	0.09345810014
91	0.09293672143
92	0.09239549257
93	0.09187193363
94	0.09149059475
95	0.09108643905
96	0.09106843889
97	0.0906229303
98	0.08994063747
99	0.08943816042
100	0.08882704164
101	0.08841872622
102	0.08810210656
103	0.08762116464
104	0.08716972489
105	0.08671596846
106	0.08640942335
107	0.08593149911
108	0.08548187583
109	0.08491264835
110	0.08427102628
111	0.08403957418
112	0.08335201527
113	0.08278908876
114	0.08223182527
115	0.08191111936
116	0.0816256991
117	0.08141050195
118	0.08121834981
119	0.08075099656
120	0.08028948928
121	0.07992634731
122	0.07935913271
123	0.07897080601
124	0.07876773891
125	0.07840619589
126	0.07813183955
127	0.07794935731
128	0.07766172124
129	0.07740109282
130	0.07723612236
131	0.07696001034
132	0.07670161559
133	0.07644190553
134	0.07617407982
135	0.07568708556
136	0.07529658368
137	0.07511857086
138	0.07477458218
139	0.0746032887
140	0.07436627627
141	0.07416814238
142	0.0738188009
143	0.07362584442
144	0.07332804664
145	0.07306250585
146	0.07276403014
147	0.07268360803
148	0.07229771327
149	0.07211015743
150	0.07164404807
151	0.0714160397
152	0.07127024965
153	0.07105703803
154	0.07093868617
155	0.07080970804
156	0.07069541111
157	0.07047704486
158	0.07005821272
159	0.06995479014
160	0.0697085375
161	0.0695197351
162	0.06936050708
163	0.06919297251
164	0.06904932561
165	0.06883032591
166	0.06865163091
167	0.06850951911
168	0.06830607597
169	0.06822511823
170	0.06803912557
171	0.06780066775
172	0.06765156048
173	0.06733558967
174	0.06714914149
175	0.06697891246
176	0.06685334799
177	0.06678873475
178	0.06657220884
179	0.06646835478
180	0.06623367492
181	0.06609187096
182	0.06596127622
183	0.06568840858
184	0.06557702817
185	0.06544843424
186	0.065286839
187	0.06515687642
188	0.06511987395
189	0.06505829517
190	0.06491037311
191	0.06459441134
192	0.06440887187
193	0.06433726836
194	0.06423391224
195	0.06401595012
196	0.06392337659
197	0.06387095238
198	0.06375773876
199	0.0635076577
200	0.06337440955
201	0.06328127799
202	0.06322088979
203	0.06307143842
204	0.06288162125
205	0.06285702586
206	0.06268503856
207	0.06243824207
208	0.0623500745
209	0.06219079022
210	0.06199177131
211	0.06189581615
212	0.0617582566
213	0.06162408662
214	0.06160912811
215	0.06143105811
216	0.06123472946
217	0.0609987386
218	0.06086370343
219	0.0607417544
220	0.06071723009
221	0.06059434317
222	0.06048361737
223	0.06037207133
224	0.0602335989
225	0.05994333443
226	0.05975930504
227	0.05966796632
228	0.05949916214
229	0.05938653474
230	0.05931195721
231	0.05915053272
232	0.05901238746
233	0.05896050911
234	0.05887123276
235	0.05880001668
236	0.05860760004
237	0.05849561357
238	0.05836267885
239	0.05815108212
240	0.05800467062
241	0.05791348835
242	0.0578309109
243	0.0576735246
244	0.05754334261
245	0.05737364031
246	0.0573008392
247	0.05724190351
248	0.05719706767
249	0.0570950021
250	0.05693605174
251	0.05680800154
252	0.05668255314
253	0.05658953836
254	0.05648915181
255	0.05646160281
256	0.0563522941
257	0.05626731011
258	0.05618756332
259	0.05612759089
260	0.0559849853
261	0.05591559812
