2026-03-13 12:24:59 | src.utils.logger_setup | INFO     | setup_logging:76 | Logging initialized. Log file: data\logs\diagnostic_platform_20260313.log
2026-03-13 12:24:59 | src.utils.logger_setup | INFO     | <module>:710 | Enhanced application started
2026-03-13 12:25:55 | src.utils.logger_setup | INFO     | setup_logging:76 | Logging initialized. Log file: data\logs\diagnostic_platform_20260313.log
2026-03-13 12:25:55 | src.utils.logger_setup | INFO     | <module>:710 | Enhanced application started
2026-03-13 12:26:03 | src.utils.logger_setup | INFO     | extract_and_validate_vision_data:917 | Vision data validated: {'rpm': 5000, 'speed': 119, 'load': 0, 'temp': 100, 'dtc': 'P0100'}
2026-03-13 12:26:03 | src.utils.logger_setup | INFO     | log_execution_time:108 | ⏱️ Vision_Extraction took 6955.49ms
2026-03-13 12:26:03 | src.utils.logger_setup | INFO     | setup_logging:76 | Logging initialized. Log file: data\logs\diagnostic_platform_20260313.log
2026-03-13 12:26:03 | src.utils.logger_setup | INFO     | <module>:710 | Enhanced application started
2026-03-13 12:26:21 | src.utils.logger_setup | INFO     | setup_logging:76 | Logging initialized. Log file: data\logs\diagnostic_platform_20260313.log
2026-03-13 12:26:21 | src.utils.logger_setup | INFO     | <module>:710 | Enhanced application started
2026-03-13 12:26:25 | src.utils.logger_setup | INFO     | setup_logging:76 | Logging initialized. Log file: data\logs\diagnostic_platform_20260313.log
2026-03-13 12:26:25 | src.utils.logger_setup | INFO     | <module>:710 | Enhanced application started
2026-03-13 12:26:31 | src.utils.logger_setup | INFO     | setup_logging:76 | Logging initialized. Log file: data\logs\diagnostic_platform_20260313.log
2026-03-13 12:26:31 | src.utils.logger_setup | INFO     | <module>:710 | Enhanced application started
2026-03-13 12:26:40 | src.utils.logger_setup | INFO     | setup_logging:76 | Logging initialized. Log file: data\logs\diagnostic_platform_20260313.log
2026-03-13 12:26:40 | src.utils.logger_setup | INFO     | <module>:710 | Enhanced application started
2026-03-13 12:26:56 | src.utils.logger_setup | INFO     | setup_logging:76 | Logging initialized. Log file: data\logs\diagnostic_platform_20260313.log
2026-03-13 12:26:56 | src.utils.logger_setup | INFO     | <module>:710 | Enhanced application started
2026-03-13 12:27:40 | src.utils.logger_setup | INFO     | setup_logging:76 | Logging initialized. Log file: data\logs\diagnostic_platform_20260313.log
2026-03-13 12:27:40 | src.utils.logger_setup | INFO     | <module>:710 | Enhanced application started
